Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
DLTR,"Dollar Tree, Inc.",77.59,15998397244,n/a,1995,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/dltr
DGICA,"Donegal Group, Inc.",14.95,411555769.3,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/dgica
DGICB,"Donegal Group, Inc.",21.5,591869501,n/a,1986,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/dgicb
DMLP,"Dorchester Minerals, L.P.",17.56,538660568.4,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/dmlp
DORM,"Dorman Products, Inc.",49.28,1754328280,n/a,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/dorm
HILL,Dot Hill Systems Corporation,5.95,364243220.6,n/a,n/a,Technology,Electronic Components,http://www.nasdaq.com/symbol/hill
DRWI,DragonWave Inc,0.2481,18688274.17,n/a,2009,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/drwi
DRWIW,DragonWave Inc,0.0696,554277,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/drwiw
DWA,"Dreamworks Animation SKG, Inc.",25.4,2177659424,n/a,2004,Consumer Services,Movies/Entertainment,http://www.nasdaq.com/symbol/dwa
DRYS,DryShips Inc.,0.5551,373062904.6,n/a,2005,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/drys
DSKX,"DS Healthcare Group, Inc.",3.27,55959699.66,n/a,n/a,Consumer Non-Durables,Package Goods/Cosmetics,http://www.nasdaq.com/symbol/dskx
DSPG,"DSP Group, Inc.",8.95,200109273.1,n/a,1994,Technology,Semiconductors,http://www.nasdaq.com/symbol/dspg
CADT,DT Asia Investments Limited,9.93,88648396.83,n/a,2014,Finance,Business Services,http://www.nasdaq.com/symbol/cadt
CADTR,DT Asia Investments Limited,0.2,0,n/a,2014,Finance,Business Services,http://www.nasdaq.com/symbol/cadtr
CADTU,DT Asia Investments Limited,10.17,0,n/a,2014,Finance,Business Services,http://www.nasdaq.com/symbol/cadtu
CADTW,DT Asia Investments Limited,0.11,0,n/a,2014,Finance,Business Services,http://www.nasdaq.com/symbol/cadtw
DTSI,"DTS, Inc.",27.53,486980895.5,n/a,2003,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/dtsi
DNKN,"Dunkin&#39; Brands Group, Inc.",54.05,5201532342,n/a,2011,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/dnkn
DRRX,Durect Corporation,2.3,275007665,n/a,2000,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/drrx
DXPE,"DXP Enterprises, Inc.",37.15,528779540.3,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/dxpe
DYAX,Dyax Corp.,24.26,3534047189,n/a,2000,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/dyax
BOOM,Dynamic Materials Corporation,12.58,177905642.9,n/a,n/a,Capital Goods,Industrial Specialties,http://www.nasdaq.com/symbol/boom
DYSL,Dynasil Corporation of America,1.47,24197611.2,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/dysl
DYNT,Dynatronics Corporation,3.325,8380293.425,n/a,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/dynt
DVAX,Dynavax Technologies Corporation,29.65,868841036.4,n/a,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/dvax
ETFC,E*TRADE Financial Corporation,28.47,8253903908,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/etfc
EBMT,"Eagle Bancorp Montana, Inc.",11.06,42282169.86,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/ebmt
EGBN,"Eagle Bancorp, Inc.",44.23,1475500239,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/egbn
EGLE,Eagle Bulk Shipping Inc.,8.42,318947175,n/a,n/a,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/egle
EGRX,"Eagle Pharmaceuticals, Inc.",94.7,1473951805,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/egrx
EROC,"Eagle Rock Energy Partners, L.P.",2.07,316689931.4,n/a,2006,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/eroc
ELNK,EarthLink Holdings Corp.,7.53,776253618.9,n/a,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/elnk
EWBC,"East West Bancorp, Inc.",44.39,6385335259,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ewbc
EML,Eastern Company (The),17.87,111587267.2,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/eml
EVBS,"Eastern Virginia Bankshares, Inc.",6.34,82569307,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/evbs
EBAY,eBay Inc.,28.75,35024057616,n/a,1998,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/ebay
EBIX,"Ebix, Inc.",30.05,1051210542,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/ebix
ELON,Echelon Corporation,0.57,25109731.2,n/a,1998,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/elon
ECHO,"Echo Global Logistics, Inc.",31.6,912450158,n/a,2009,Transportation,Oil Refining/Marketing,http://www.nasdaq.com/symbol/echo
ECTE,"Echo Therapeutics, Inc.",1.75,19474481.25,n/a,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/ecte
SATS,EchoStar Corporation,46.36,2065603365,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/sats
EEI,"Ecology and Environment, Inc.",11.305,48465156.78,n/a,1987,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/eei
ESES,"Eco-Stim Energy Solutions, Inc.",4.05,27498078.45,n/a,n/a,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/eses
EDAP,EDAP TMS S.A.,3.58,90676395.16,25328602,1997,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/edap
EDGW,"Edgewater Technology, Inc.",6.71,77868201.29,n/a,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/edgw
EDUC,Educational Development Corporation,4.94,19993177.88,n/a,n/a,Consumer Durables,Consumer Specialties,http://www.nasdaq.com/symbol/educ
EFUT,eFuture Information Technology Inc.,4.82,19248072.32,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/efut
EGAN,eGain Corporation,4.49,120193402.7,n/a,1999,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/egan
EGLT,Egalet Corporation,11.25,194891208.8,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/eglt
EHTH,"eHealth, Inc.",12.67,226906295.1,n/a,2006,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/ehth
LOCO,"El Pollo Loco Holdings, Inc.",18.97,725865670.8,n/a,2014,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/loco
EMITF,Elbit Imaging Ltd.,1.27,35016984.83,n/a,n/a,Consumer Services,Building operators,http://www.nasdaq.com/symbol/emitf
ESLT,Elbit Systems Ltd.,81.1,3463294238,n/a,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/eslt
ERI,"Eldorado Resorts, Inc.",8.11,377249739.5,n/a,n/a,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/eri
ELRC,Electro Rent Corporation,10.12,243946607.5,n/a,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/elrc
ESIO,"Electro Scientific Industries, Inc.",4.67,143636693.7,n/a,n/a,Miscellaneous,Industrial Machinery/Components,http://www.nasdaq.com/symbol/esio
EA,Electronic Arts Inc.,72.18,22526857005,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ea
EFII,"Electronics for Imaging, Inc.",45.28,2122795678,n/a,1992,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/efii
ELSE,"Electro-Sensors, Inc.",3.81,12936935.01,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/else
ELECU,Electrum Special Acquisition Corporation,10.08,252000000,n/a,2015,Finance,Business Services,http://www.nasdaq.com/symbol/elecu
EBIO,"Eleven Biotherapeutics, Inc.",2.8,54239950.8,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ebio
RDEN,"Elizabeth Arden, Inc.",10.69,318686592,n/a,n/a,Consumer Non-Durables,Package Goods/Cosmetics,http://www.nasdaq.com/symbol/rden
CAPX,Elkhorn S&P 500 Capital Expenditures Portfolio,24.18,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/capx
ESBK,Elmira Savings Bank NY (The),19.98,54045900,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/esbk
LONG,"eLong, Inc.",13.65,108616517.1,7957254,2004,Consumer Services,Transportation Services,http://www.nasdaq.com/symbol/long
ELTK,Eltek Ltd.,0.93,9432768.66,n/a,1997,Technology,Electrical Products,http://www.nasdaq.com/symbol/eltk
EMCI,EMC Insurance Group Inc.,24.5,504334509,n/a,1982,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/emci
EMCF,Emclaire Financial Corp,23.8,50785820.4,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/emcf
EMKR,EMCORE Corporation,5.95,192164091.7,n/a,1997,Technology,Semiconductors,http://www.nasdaq.com/symbol/emkr
EMMS,Emmis Communications Corporation,1.35,59848509.15,n/a,1994,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/emms
EMMSP,Emmis Communications Corporation,3.38,4498749.58,n/a,n/a,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/emmsp
NYNY,"Empire Resorts, Inc.",5,233416155,n/a,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/nyny
ERS,"Empire Resources, Inc.",3.8652,33606669.41,n/a,n/a,Basic Industries,Metal Fabrications,http://www.nasdaq.com/symbol/ers
ENTA,"Enanta Pharmaceuticals, Inc.",47.85,894413444.1,n/a,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/enta
ECPG,Encore Capital Group Inc,42.89,1116282976,n/a,n/a,Finance,Finance Companies,http://www.nasdaq.com/symbol/ecpg
WIRE,Encore Wire Corporation,34.19,709102377.9,n/a,1992,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/wire
ENDP,Endo International plc,86.19,17787852380,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/endp
ECYT,"Endocyte, Inc.",5.04,211325415.8,n/a,2011,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ecyt
ELGX,"Endologix, Inc.",14.06,947902099.4,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/elgx
EIGI,"Endurance International Group Holdings, Inc.",20.34,2693252615,n/a,2013,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/eigi
WATT,Energous Corporation,7.55,97326997.15,n/a,2014,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/watt
EFOI,"Energy Focus, Inc.",9.74,97623172.62,n/a,n/a,Consumer Durables,Building Products,http://www.nasdaq.com/symbol/efoi
ERII,"Energy Recovery, Inc.",2.63,136839838.9,n/a,2008,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/erii
EXXI,Energy XXI Ltd.,1.8,169981480.8,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/exxi
ENOC,"EnerNOC, Inc.",8.04,244278073.8,n/a,2007,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/enoc
ENG,ENGlobal Corporation,1.18,33043339.4,n/a,n/a,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/eng
ENPH,"Enphase Energy, Inc.",5.97,263610066.3,n/a,2012,Technology,Semiconductors,http://www.nasdaq.com/symbol/enph
ESGR,Enstar Group Limited,161.79,3115646009,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/esgr
ENFC,Entegra Financial Corp.,17.5101,114627680.9,n/a,2014,Finance,Banks,http://www.nasdaq.com/symbol/enfc
ENTG,"Entegris, Inc.",13.41,1880560080,n/a,2000,Consumer Non-Durables,Plastic Products,http://www.nasdaq.com/symbol/entg
ENTL,"Entellus Medical, Inc.",20.48,383265689.6,n/a,2015,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/entl
ETRM,EnteroMedics Inc.,0.3401,25304928.96,n/a,2007,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/etrm
EBTC,Enterprise Bancorp Inc,21.56,222627762.3,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ebtc
EFSC,Enterprise Financial Services Corporation,23.95,477454147.3,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/efsc
EGT,Entertainment Gaming Asia Incorporated,2.16,31242715.2,n/a,n/a,Consumer Durables,Miscellaneous manufacturing industries,http://www.nasdaq.com/symbol/egt
ENVI,"Envivio, Inc.",1.75,49380422,n/a,2012,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/envi
ENZN,"Enzon Pharmaceuticals, Inc.",1.39,61413545.73,n/a,1984,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/enzn
ENZY          ,Enzymotec Ltd.,7.78,174913920,n/a,2013,Consumer Durables,Specialty Chemicals,http://www.nasdaq.com/symbol/enzy          
EPIQ,"EPIQ Systems, Inc.",16.37,610367809.4,n/a,1997,Technology,EDP Services,http://www.nasdaq.com/symbol/epiq
EPRS,"EPIRUS Biopharmaceuticals, Inc.",6.57,154492571.1,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/eprs
EPZM,"Epizyme, Inc.",21.71,894553385.7,n/a,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/epzm
PLUS,ePlus inc.,74.89,559901305.2,n/a,1996,Technology,Retail: Computer Software & Peripheral Equipment,http://www.nasdaq.com/symbol/plus
EQIX,"Equinix, Inc.",279.22,15894091157,n/a,2000,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/eqix
EQFN,Equitable Financial Corp.,8.33,18617183.48,n/a,2015,Finance,Savings Institutions,http://www.nasdaq.com/symbol/eqfn
EAC           ,Erickson Incorporated,3.55,49107767.7,n/a,2012,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/eac           
ERIC,Ericsson,10.61,2524246638,237912030,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/eric
ERIE,Erie Indemnity Company,81.82,3779397530,n/a,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/erie
ESCA,"Escalade, Incorporated",16.92,237416127.1,n/a,n/a,Consumer Non-Durables,Recreational Products/Toys,http://www.nasdaq.com/symbol/esca
ESCR,Escalera Resources Co.,0.25,3569862.5,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/escr
ESCRP,Escalera Resources Co.,2.8,0,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/escrp
ESMC,Escalon Medical Corp.,1.55,11665966.5,n/a,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/esmc
ESPR,"Esperion Therapeutics, Inc.",62.48,1403275058,n/a,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/espr
ESSA,"ESSA Bancorp, Inc.",12.91,147617820,n/a,n/a,Finance,Banks,http://www.nasdaq.com/symbol/essa
EPIX,ESSA Pharma Inc.,7.81,176633982.5,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/epix
ESND,Essendant Inc.,36,1368254916,n/a,n/a,Consumer Services,Paper,http://www.nasdaq.com/symbol/esnd
ESSX,Essex Rental Corporation,0.5,12467800,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/essx
ETSY,"Etsy, Inc.",18.98,2121671480,n/a,2015,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/etsy
CLWT,Euro Tech Holdings Company Limited,2.63,5442056.49,n/a,1997,Consumer Durables,Diversified Electronic Products,http://www.nasdaq.com/symbol/clwt
EEFT,"Euronet Worldwide, Inc.",68.27,3541760965,n/a,1997,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/eeft
ESEA,Euroseas Ltd.,6.13,35451206.03,n/a,n/a,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/esea
EVEP,"EV Energy Partners, L.P.",10.8,527811109.2,n/a,2006,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/evep
EVK,"Ever-Glory International Group, Inc.",4.18,61797512.92,n/a,n/a,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/evk
EVLV,EVINE Live Inc.,2.23,127210488.3,n/a,n/a,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/evlv
EVOK,"Evoke Pharma, Inc.",5.1,31970931,n/a,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/evok
EVOL,"Evolving Systems, Inc.",8.54,99699350.38,n/a,1998,Technology,EDP Services,http://www.nasdaq.com/symbol/evol
EXA,Exa Corporation,11.36,164607479.2,n/a,2012,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/exa
EXAS,EXACT Sciences Corporation,24.51,2179234149,n/a,2001,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/exas
EXAC,"Exactech, Inc.",20.01,279891715.9,n/a,1996,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/exac
EXEL,"Exelixis, Inc.",5.6,1097748954,n/a,2000,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/exel
EXFO,EXFO Inc,2.86,63499513.22,n/a,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/exfo
EXLS,"ExlService Holdings, Inc.",36.82,1226082840,n/a,2006,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/exls
EXPE,"Expedia, Inc.",106.87,13632558955,n/a,n/a,Consumer Services,Transportation Services,http://www.nasdaq.com/symbol/expe
EXPD,"Expeditors International of Washington, Inc.",46.67,8926767147,n/a,n/a,Transportation,Oil Refining/Marketing,http://www.nasdaq.com/symbol/expd
EXPO,"Exponent, Inc.",44.39,2306635972,n/a,n/a,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/expo
ESRX,Express Scripts Holding Company,91.29,66576975390,n/a,1992,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/esrx
EXLP,"Exterran Partners, L.P.",21.63,1290590937,n/a,n/a,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/exlp
EXTR,"Extreme Networks, Inc.",2.23,223119160.1,n/a,1999,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/extr
EYEG,"Eyegate Pharmaceuticals, Inc.",13.8,95788284,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/eyeg
EZCH,EZchip Semiconductor Limited,16.27,487342826.7,n/a,n/a,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/ezch
EZPW,"EZCORP, Inc.",6.29,326017109.5,n/a,1991,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/ezpw
FFIV,"F5 Networks, Inc.",132.49,9530323014,n/a,1999,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/ffiv
FB,"Facebook, Inc.",96.99,2.72E+11,n/a,2012,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/fb
FCS,"Fairchild Semiconductor International, Inc.",15.16,1765124265,n/a,1999,Technology,Semiconductors,http://www.nasdaq.com/symbol/fcs
FRP,"FairPoint Communications, Inc.",16.67,448093817.5,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/frp
